,name,cuisine,latitude,longitude,address,rating,review_count,price
90,Coffee Lounge,Singaporean,1.308435,103.833928,"22 Scotts Rd, Singapore 228221, Singapore",4.5,4,$$$
91,Happy Crab,Singaporean,1.3022323,103.8610412,"13 Pahang St, Singapore 198613, Singapore",4.5,11,$$$
92,National Kitchen By Violet Oon,Singaporean,1.290618,103.851938,"""1 St Andrews Rd"", #02-01, Singapore 178957, Singapore",4.5,38,$$$
93,San Laksa Steamboat,Singaporean,1.30988,103.85699,"147 Kitchener Road, Singapore 208524, Singapore",4,8,$$$
94,Cin Cin,Singaporean,1.275907433,103.8446534,"100 Peck Seah St, #01-02, Singapore 079333, Singapore",4,3,$$$
95,The Peranakan,Singaporean,1.307166193,103.8286007,"442 Orchard Rd, #02-01, Orchard Hotel, Claymore Connect, Singapore 238879, Singapore",3,13,$$$
96,Big Street,Singaporean,1.30619,103.85597,"104/106 Jalan Besar, Singapore 208828, Singapore",4,3,$$$
97,Folklore,Singaporean,1.302405402,103.864042,"700 Beach Rd, Level 2, Singapore 199598, Singapore",3.5,10,$$$
98,Joie By Dozo,Singaporean,1.301571555,103.8388208,"181 Orchard Rd, #12-01, Singapore 238896, Singapore",4.5,21,$$$
99,Chin Huat Live Seafood,Singaporean,1.322290697,103.7695743,"Blk 105 Clementi St 12, #01-30, Singapore 120105, Singapore",4.5,18,$$$
100,The East Bureau,Singaporean,1.290562905,103.8566192,"6 Raffles Boulevard, #03-03, Singapore 039594, Singapore",2,1,$$$
101,Privé CHIJMES,Singaporean,1.294728,103.85224,"30 Victoria St, #01-33, Chijmes Courtyard, Singapore 187996, Singapore",3,18,$$$
102,Hot Stones Steak & Seafood,Singaporean,1.2899801,103.8455811,"3D River Valley Road, #01-06, Singapore 179023, Singapore",2,4,$$$
103,Durian Stall At Dempsey,Singaporean,1.30475,103.8089981,"7 Dempsey Road, Singapore 249671, Singapore",4,6,$$$
104,Hopscotch Bar,Singaporean,1.275856,103.8042542,"45 Malan Road, Gillman Barracks, Red Dot Traffic Building, Singapore 109455, Singapore",4.5,7,$$$
105,Shashlik,Singaporean,1.30539,103.8302,"545 Orchard Rd, #06-19, Singapore 238882, Singapore",3,13,$$$
199,Renn Thai Restaurant Clarke Quay,Thai,1.28965529,103.8457142,"3D River Valley Rd, #01-05, Clarke Quay 179024, Singapore",3.5,7,$$$
200,Nakhon Kitchen,Thai,1.275455118,103.7949755,"87 Pasir Panjang Rd, Singapore 118510, Singapore",4,3,$$$
201,Sabai,Thai,1.282773825,103.8533491,"70 Collyer Quay, #01-02 Customs House, Singapore 049326, Singapore",3.5,7,$$$
202,Yhingthai Palace,Thai,1.29656,103.85496,"36 Purvis St, #01-04, Singapore 188613, Singapore",4,17,$$$
203,Thai Thai,Thai,1.29017,103.8519974,"Orchard Road 333A, 03 Mandarin Gallery, Singapore, Singapore",4,1,$$$
204,Jim Thompson,Thai,1.30545,103.81555,"45 Minden Road, Singapore 248817, Singapore",4,23,$$$
205,Tawandang Microbrewery,Thai,1.30584,103.811348,"26 Dempsey Rd, #01-01, Singapore 249686, Singapore",3.5,18,$$$
206,MooJaa,Thai,1.27986,103.8413315,"25 Keong Saik Road, Singapore 089132, Singapore",3.5,3,$$$
264,Antoinette,French,1.30973,103.86219,"30 Penhas Road, Singapore 208188, Singapore",3.5,22,$$$
265,Creperie des Arts,French,1.29995,103.8499298,"44 Prinsep Street, Singapore 188673, Singapore",4,4,$$$
266,Taratata Brasserie,French,1.2801146,103.8414164,"35A Keong Saik Rd, Ground Floor, Singapore 089142, Singapore",4,13,$$$
267,Brasserie Les Saveurs,French,1.305758,103.826029,"29 Tanglin Rd, Singapore 247911, Singapore",3,6,$$$
268,Bistro Du Vin,French,1.292846999,103.831193,"Zion, 56 Zion Road, Singapore 247781, Singapore",4,13,$$$
269,IKYU,French,1.2825899,103.83035,"5 Yong Siak St, Singapore 168643, Singapore",4,20,$$$
270,The Clifford Pier,French,1.2839449,103.8535294,"80 Collyer Quay, Singapore 049326, Singapore",3.5,17,$$$
271,L'Entrecôte,French,1.27842,103.8428192,"36 Duxton Hill, Singapore 089614, Singapore",3.5,24,$$$
272,Bar-Roque Grill,French,1.274961,103.843575,"165 Tanjong Pagar Rd, #01-00, Singapore 088539, Singapore",3.5,8,$$$
273,Les Bouchons,French,1.2813,103.84571,"7 Ann Siang Road, Singapore 069689, Singapore",3,13,$$$
342,Zzapi,Italian,1.316404553,103.8355207,"271 Bukit Timah Road, #01-04, Balmoral Plaza, Singapore 259708, Singapore",4,1,$$$
343,Ristorante Pietrasanta,Italian,1.298994847,103.7876004,"1 Fusionopolis Way, #01-08, Connexis Tower, Singapore 138632, Singapore",4,16,$$$
344,Dolce Vita,Italian,1.29063,103.85844,"5 Raffles Ave, Level 5, Singapore 039797, Singapore",4.5,6,$$$
345,iO Italian Osteria,Italian,1.362962442,103.7644064,"4 Hillview Rise Hill V2, # 02-01, Singapore 667979, Singapore",4.5,19,$$$
346,Jamie's Italian,Italian,1.30629,103.8286399,"583 Orchard Rd, #01 01-04, Singapore 238884, Singapore",3,26,$$$
347,Da Luca Italian Restaurant,Italian,1.3182,103.8426132,"1 Goldhill Plaza, #01-19/21 Goldhill Plaza, Singapore 308899, Singapore",3.5,8,$$$
348,Alfresco Gusto,Italian,1.305104,103.832075,"2 Orchard Turn, ION Orchard #01-15, Singapore 238801, Singapore",2.5,3,$$$
349,Caruso,Italian,1.330735117,103.7958559,"791 Bukit Timah Rd, Singapore 269764, Singapore",4,3,$$$
350,Bel Mondo,Italian,1.2920715,103.859851,"9 Raffles Boulevard, Singapore 039596, Singapore",4,6,$$$
351,La Strada,Italian,1.306347554,103.8318952,"1 Scotts Rd, #01-13, Singapore 228208, Singapore",4.5,16,$$$
352,sufood,Italian,1.29383,103.8533325,"252 North Bridge Road, Raffles City Shopping Centre, #02-19, Singapore, Singapore",4,6,$$$
353,Pasta Brava,Italian,1.277636955,103.8427265,"11 Craig Rd, Tanjong Pagar 089671, Singapore",4,22,$$$
354,Perbacco,Italian,1.27803,103.8423462,"20 Craig Rd, #01-03, Singapore 089692, Singapore",4,3,$$$
355,Limoncello Pizza & Grill,Italian,1.29093,103.83668,"95 Robertson Quay, #01-19/20, Rivergate, Singapore 238256, Singapore",3,12,$$$
356,Aura,Italian,1.2897045,103.8512862,"""1 St Andrews Rd"", #06-02, Singapore 178957, Singapore",3.5,21,$$$
357,Cicheti,Italian,1.3017,103.85997,"52 Kandahar St, Singapore 198901, Singapore",4,34,$$$
358,Petes's Place,Italian,1.3064382,103.83333,"Grand Hyatt Singapore, 10 Scotts Road, Singapore 228211, Singapore",3.5,13,$$$
359,Pizza Fabbrica,Italian,1.301014036,103.8600211,"69/70 Bussorah Street, Singapore 199483, Singapore",4,12,$$$
360,Atmastel,Italian,1.294411882,103.855544,"26 Beach Rd, #B1-22, South Beach Avenue, Singapore 189768, Singapore",3.5,4,$$$
361,Zafferano Restaurant,Italian,1.282762127,103.8530221,"10 Collyer Quay, #43-01, Ocean Financial Centre, Singapore 049315, Singapore",3,16,$$$
362,La Pizzaiola,Italian,1.381617123,103.8297154,"19 Kalidasa Avenue, Singapore 789398, Singapore",4.5,4,$$$
363,Rubato,Italian,1.331184718,103.8069923,"12 Greenwood Ave, Singapore 289204, Singapore",4,12,$$$
364,Peperoni Pizzeria,Italian,1.3534281,103.8333141,"267 Upper Thomson Rd, Singapore 574394, Singapore",4,1,$$$
365,Bruno's Bistrot,Italian,1.31213,103.91116,"201 Telok Kurau Rd, #01-06, Kurau Court, Singapore 423910, Singapore",4,5,$$$
366,Prego,Italian,1.293827,103.854009,"80 Bras Basah Rd, Level 1, Singapore 189560, Singapore",3.5,28,$$$
367,Pizzeria L'Operetta,Italian,1.275,103.8445206,"Icon Village #01-78-81, 12 Gopeng Street, Singapore 078877, Singapore",3,13,$$$
368,Baci Baci,Italian,1.364537028,103.8700351,"27 Lichfield Rd, Singapore 556847, Singapore",4.5,6,$$$
369,Latteria Mozzarella Bar,Italian,1.27859,103.8429031,"40 Duxton Hill, Singapore 089618, Singapore",4,31,$$$
370,La Braceria,Italian,1.33164,103.8070526,"5 Greendale Ave, Hillcrest, Singapore 289501, Singapore",3.5,8,$$$
371,Cacio e Pepe Cucina Italiano,Italian,1.357796164,103.760363,"3 Chu Lin Road, Singapore 669890, Singapore",3.5,3,$$$
372,Senso Ristorante & Bar,Italian,1.28251,103.84663,"21 Club St, Singapore 069410, Singapore",4,14,$$$
373,DOP Mozzarella Bar,Italian,1.29026,103.83919,"60 Robertson Quay, #01-04A The Quayside, Singapore 238252, Singapore",4,8,$$$
374,La Forketta Gastronomia Italiana,Italian,1.3036447,103.8098267,"9 Dempsey Rd, #01-09, Singapore 247697, Singapore",2.5,14,$$$
375,Motorino,Italian,1.290286,103.845103,"3A River Valley Rd, #01-01A, Clarke Quay, Singapore 179020, Singapore",3.5,15,$$$
376,Mad For Garlic,Italian,1.293590045,103.8566689,"No 3 Temasek Boulevard, #02-300/301, Singapore 038983, Singapore",2.5,12,$$$
377,Truffle Gourmet,Italian,1.2821362,103.8459818,"49 Club Street, Singapore 069426, Singapore",3,3,$$$
378,Modesto's,Italian,1.30689,103.8277512,"1 Tanglin Rd, #01-09/10, Orchard Parade Hotel, Singapore 247905, Singapore",3,12,$$$
379,Al Forno,Italian,1.30871,103.9120178,"400 East Coast Rd, Singapore 428996, Singapore",3.5,17,$$$
380,Palio,Italian,1.255427862,103.8198829,"Hotel Michael Sentosa, Level 2, Singapore, Singapore",3.5,2,$$$
381,Burlamacco Ristorante,Italian,1.2804805,103.8468004,"77 Amoy Street, Singapore 069896, Singapore",3.5,6,$$$
382,Sopra Cucina & Bar,Italian,1.3076066,103.8301208,"10 Claymore Road, #01-02, Pan Pacific Orchard Hotel, Singapore 229540, Singapore",3.5,7,$$$
383,Trattoria Italian Kitchen,Italian,1.30106,103.8384705,"313 Orchard Road, 313 Somerset, Singapore 238895, Singapore",3,5,$$$
384,Trattoria L'Operetta,Italian,1.30641,103.89559,"244 Tanjong Katong Road, Singapore 437032, Singapore",3.5,9,$$$
385,Pietro Ristorante Italiano,Italian,1.38328677,103.8760747,"12 Jalan Kelulut, Singapore 809030, Singapore",3,5,$$$
386,Jamie's Italian,Italian,1.263437,103.82129,"1 HarbourFront Walk, #01-165/167, Singapore 098585, Singapore",3,48,$$$
387,Ristorante da Valentino,Italian,1.336877,103.793967,"200 Turf Club Road, #01-19, Singapore 287994, Singapore",3.5,19,$$$
388,Etna Italian Restaurant,Italian,1.313189048,103.9293685,"110 Upper East Coast Rd, Singapore 455298, Singapore",3.5,6,$$$
389,Sole Pomodoro,Italian,1.246765278,103.8419418,"31 Ocean Way, #01-14 Quayside Isle  Sentosa Cove, Bedok 098375, Singapore",2.5,7,$$$
390,Pepenero,Italian,1.28036,103.8480835,"14 Stanley Street, Singapore 068733, Singapore",3.5,7,$$$
396,My Little Spanish Place,Spanish,1.28717,103.84925,"54 Boat Quay, Singapore 049843, Singapore",4,4,$$$
397,Sabio By The Sea,Spanish,1.24777,103.8419724,"31 Ocean Way, #01-02, Southern Islands 098367, Singapore",3.5,10,$$$
398,My Little Tapas Bar,Spanish,1.2812521,103.8455394,"14 Ann Siang Road, Singapore 069694, Singapore",4.5,8,$$$
399,My Little Spanish Place,Spanish,1.32443,103.8092422,"619 Bukit Timah Road, Singapore 269720, Singapore",4,13,$$$
400,Dehesa,Spanish,1.28626,103.8487899,"12 North Canal Rd, Singapore 048825, Singapore",5,3,$$$
401,Binomio,Spanish,1.277666492,103.8420918,"Craig Place, 20 Craig Road, #01-02, Singapore 089692, Singapore",4.5,15,$$$
402,Los Primos Taberna Y Tapas,Spanish,1.28161,103.8457489,"87 Club Street, Singapore 069449, Singapore",2.5,5,$$$
403,Bam! Tapas-sake Bar,Spanish,1.27841,103.8442535,"38 Tras Street, Singapore 078977, Singapore",4,7,$$$
404,Milagro Spanish Restaurant,Spanish,1.3009279,103.8399306,"181 Orchard Rd, #08-06, Singapore 238896, Singapore",3.5,7,$$$
405,UNA at One Rochester,Spanish,1.305308,103.787689,"1 Rochester Park, Singapore 139212, Singapore",3.5,4,$$$
406,Don Quijote,Spanish,1.304618,103.808905,"7 Dempsey Rd, #01-02, Singapore 249671, Singapore",3.5,19,$$$
407,Serenity Spanish Bar & Restaurant,Spanish,1.26431,103.8220673,"1 HarbourFront Walk, #01-98/99, VivoCity, Singapore 098585, Singapore",2.5,14,$$$
408,Octapas Spanish Tapas Bar,Spanish,1.2898848,103.8454475,"3D River Valley Rd, #01-08, Singapore 179023, Singapore",2,26,$$$
509,Hana Hana,Japanese,1.276337245,103.8437165,"1 Tras Link, #01-17, Orchid Hotel, Singapore 078867, Singapore",4,4,$$$
510,The Wall,Japanese,1.27661,103.84406,"76 Tanjong Pagar Rd, Singapore 088497, Singapore",5,1,$$$
511,Dashi Master Marusaya,Japanese,1.290095197,103.8371119,"86 Robertson Quay, #01-01, Singapore 238245, Singapore",4,2,$$$
512,Tomi Sushi,Japanese,1.319782,103.843661,"238 Thomson Rd, #02-76/77, Singapore 307683, Singapore",4,19,$$$
513,Nagae,Japanese,1.29041,103.8350296,"392 Havelock Road, Singapore 169663, Singapore",4,7,$$$
514,Fish Mart Sakuraya,Japanese,1.289252651,103.8055507,"370A Alexandra Road, Singapore 159954, Singapore",4.5,4,$$$
515,Bincho at Hua Bee,Japanese,1.283741,103.8304062,"78 Moh Guan Terrace, #01-19, Singapore 162078, Singapore",4,15,$$$
516,SushiAirways Sushibar,Japanese,1.30117,103.8597336,"20A Baghdad Street, Singapore 199659, Singapore",3.5,7,$$$
517,Sushi Jin,Japanese,1.31212,103.8541565,"1 Farrer Park Station Road, #01-11/12, Owen Link, Singapore 217562, Singapore",4,8,$$$
518,Rocku Yakiniku Japanese Charcoal Grill,Japanese,1.299629,103.854302,"201 Victoria Street, #04-06 Bugis Plus, Singapore 188067, Singapore",1.5,5,$$$
519,Teng Bespoke Japanese Vegetarian Dining,Japanese,1.30054,103.85103,"91 Bencoolen Street, #01-50, Singapore 189652, Singapore",4.5,13,$$$
520,Tsukada Nojo,Japanese,1.299821,103.845445,"68 Orchard Rd, #03-81, Singapore 238891, Singapore",4,18,$$$
521,Gyu-Kaku,Japanese,1.319721568,103.8437662,"238 Thomson Road, #02-46, Novena Square, Singapore 307683, Singapore",4,6,$$$
522,Tenshin,Japanese,1.3046549,103.8249313,"1 Cusaden Rd, #03-01, Singapore 249715, Singapore",4.5,4,$$$
523,Coq & Balls,Japanese,1.2852519,103.8292453,"6 Kim Tian Rd, Kai Fook Mansion, Singapore 169246, Singapore",4,13,$$$
524,Himonoya,Japanese,1.291983242,103.8413839,"11 Unity St, #02-14, Robertson walk, Singapore, Singapore",4,1,$$$
525,Sushi Kou,Japanese,1.276993,103.843891,"1 Tras Link, #01-16, Singapore 078867, Singapore",5,4,$$$
526,Kazu Sumiyaki,Japanese,1.302,103.8407211,"5 Koek Rd, Singapore 228796, Singapore",4.5,19,$$$
527,Syun,Japanese,1.256752,103.820331,"8 Sentosa Gateway, Festive Walk RWS, Sentosa Island, Southern Islands 098269, Singapore",4,5,$$$
528,Ginza Kuroson,Japanese,1.291280723,103.8414423,"30 Robertson Quay, Singapore 238251, Singapore",3.5,7,$$$
529,The Courtyard,Japanese,1.2862,103.85298,"1 Fullerton Square, Singapore 049178, Singapore",4,7,$$$
530,Tonkichi,Japanese,1.30111,103.8394699,"181 Orchard Rd, # 07-06 Orchard Central, Singapore 238896, Singapore",3.5,4,$$$
531,Bijin Nabe By Tsukada Nojo,Japanese,1.291759993,103.8445347,"177 River Valley Rd, #B1-03/04/05, Singapore 179030, Singapore",4,6,$$$
532,Horse's Mouth,Japanese,1.306690495,103.8286174,"583 Orchard Road, #B1-39, Singapore 238884, Singapore",4,23,$$$
533,Ishinomaki Grill And Sake,Japanese,1.306432274,103.8296795,"390 Orchard Rd, B1-2/02A/03, Singapore 238871, Singapore",4,3,$$$
534,Azmaya,Japanese,1.291138,103.841143,"30 Robertson Quay, #01-12/13, Riverside View, Singapore 238251, Singapore",3,6,$$$
535,Himawari Japanese Restaurant,Japanese,1.2747101,103.8021393,"991B Alexandra Road, #01-08/09, Singapore 119970, Singapore",4,4,$$$
536,Gyu Kaku Japanese BBQ,Japanese,1.29217,103.8426666,"UE Square, 81 Clemenceau Avenue, #01-18/19, Singapore 239917, Singapore",4,5,$$$
537,Nobu-ya,Japanese,1.30044,103.85225,"190 Middle Rd, Fortune Centre, Singapore 188979, Singapore",3,12,$$$
538,Yamagawa Japanese Restaurant,Japanese,1.30011,103.8606415,"7500A Beach Rd, #01-305 The Plaza, Singapore 199591, Singapore",4,5,$$$
539,Ginzawa,Japanese,1.3066061,103.8295614,"390 Orchard Road, #01-07 Palais Renaissance, Singapore 238871, Singapore",4,3,$$$
540,Shabu Shabu Tajimaya,Japanese,1.30379,103.83319,"435 Orchard Rd, Wisma Atria Level 4, Japanese Food Town, Singapore 238877, Singapore",4.5,4,$$$
541,Ryo Sushi,Japanese,1.27686,103.84387,"1 Tras Link, #01-06, Singapore 078867, Singapore",4.5,6,$$$
542,Tomi Sushi,Japanese,1.304204017,103.9028034,"30 East Coast Road, #02-14/15/16 Katong V, Singapore 428751, Singapore",4,5,$$$
543,Katanashi An,Japanese,1.281585845,103.8476903,"1 Boon Tat Street, #01-01, Singapore 069611, Singapore",4,7,$$$
544,Nara Japanese Restaurant,Japanese,1.318163,103.843934,"167 Thomson Rd, Goldhill Centre, Singapore 307619, Singapore",4,3,$$$
545,Wahiro Boutique Japanese,Japanese,1.305026741,103.9040909,"Roxy Square, 50 East Coast Rd, #01-01, Singapore 428769, Singapore",3.5,10,$$$
546,Sakae Sushi,Japanese,1.304279332,103.8409054,"Chevron House, 30 Raffles Place, #02-37, Singapore 048622, Singapore",2,1,$$$
547,The Public Izakaya By Hachi,Japanese,1.274309495,103.8436229,"100 Tras St, #01-09, Singapore 079027, Singapore",3.5,10,$$$
548,Jin Fine Dining,Japanese,1.282928,103.848734,"74 Telok Ayer St, # 01-02, Singapore 048464, Singapore",4.5,6,$$$
549,Azmaya Honten,Japanese,1.302,103.84072,"5 Koek Road, #03-24 to 28 Cuppage Plaza, Singapore 228796, Singapore",3,4,$$$
550,Akashi Japanese Restaurant,Japanese,1.30389,103.83583,"290 Orchard Rd, #B1-01/02, Singapore 238859, Singapore",2.5,9,$$$
551,Shin Kushiya,Japanese,1.28394,103.8479691,"33 Pekin Street, Singapore 048763, Singapore",4.5,2,$$$
552,Shin Yuu Japanese Restaurant,Japanese,1.3313031,103.8068598,"16 Greenwood Ave, Singapore 289209, Singapore",4.5,7,$$$
553,Kaiho Sushi,Japanese,1.301349,103.8400574,"03-01 Cuppage Plz, Singapore 228796, Singapore",4,10,$$$
554,ichidon,Japanese,1.2772797,103.8465299,"Maxwell Road 32, Singapore 069115, Singapore",3,1,$$$
555,Tonkatsu Ma Maison,Japanese,1.3021,103.83665,"333A Orchard Rd, #02-35/36, Singapore 238897, Singapore",3.5,23,$$$
556,Irodori Japanese Restaurant,Japanese,1.30004,103.8494568,"1 Selegie Road PoMo, #01-14/15, Singapore 188306, Singapore",2,1,$$$
557,Koji Sushi Bar - Pickering Branch,Japanese,1.284466827,103.847114,"3 Pickering Street, #01-42, Singapore 048660, Singapore",4,6,$$$
558,Tomo Izakaya,Japanese,1.29024,103.84541,"3A River Valley Rd, #01-04, Clarke Quay, Singapore 179020, Singapore",3.5,19,$$$
659,Jumbo Seafood,Malay,1.288928737,103.8483739,"20 Upper Circular Road, #B1-48, Singapore 058416, Singapore",4,183,$$$
660,Yardbird Table & Bar,Malay,1.2837366,103.8591923,"2 Bayfront Ave, #B1-07, Singapore 018972, Singapore",4.5,22,$$$
661,Coffee Lounge,Malay,1.308435,103.833928,"22 Scotts Rd, Singapore 228221, Singapore",4.5,4,$$$
662,The Garden @ Sentosa,Malay,1.243589023,103.8283539,"2 Bukit Manis Road, Sentosa, Singapore 099891, Singapore",5,2,$$$
663,Happy Crab,Malay,1.3022323,103.8610412,"13 Pahang St, Singapore 198613, Singapore",4.5,11,$$$
664,Hana Hana,Malay,1.276337245,103.8437165,"1 Tras Link, #01-17, Orchid Hotel, Singapore 078867, Singapore",4,4,$$$
665,The Naked Finn,Malay,1.276325,103.804458,"39 Malan Rd, Singapore 109442, Singapore",4.5,19,$$$
666,Hai Di Lao,Malay,1.289833,103.845535,"3D River Valley Rd, #02-04, Singapore 179023, Singapore",4,42,$$$
667,Cook & Brew,Malay,1.278000852,103.8508256,"12 Marina View, 33rd Floor, Singapore 018961, Singapore",4,14,$$$
668,8 Korean BBQ,Malay,1.288706978,103.8466714,"6 Eu Tong Sen Street, #02-70/90, Singapore 059817, Singapore",4,23,$$$
669,Salted & Hung,Malay,1.296537233,103.8551941,"12 Purvis St, Singapore 188591, Singapore",4,13,$$$
670,National Kitchen By Violet Oon,Malay,1.290618,103.851938,"""1 St Andrews Rd"", #02-01, Singapore 178957, Singapore",4.5,38,$$$
671,10 Scotts,Malay,1.3064382,103.83333,"10 Scotts Rd, Lobby Level, Singapore 228211, Singapore",4,14,$$$
672,My Little Spanish Place,Malay,1.28717,103.84925,"54 Boat Quay, Singapore 049843, Singapore",4,4,$$$
673,Sabio By The Sea,Malay,1.24777,103.8419724,"31 Ocean Way, #01-02, Southern Islands 098367, Singapore",3.5,10,$$$
674,San Laksa Steamboat,Malay,1.30988,103.85699,"147 Kitchener Road, Singapore 208524, Singapore",4,8,$$$
675,Paddy Hills,Malay,1.28082,103.78702,"38 South Buona Vista Rd, Singapore 118164, Singapore",4,15,$$$
676,Zzapi,Malay,1.316404553,103.8355207,"271 Bukit Timah Road, #01-04, Balmoral Plaza, Singapore 259708, Singapore",4,1,$$$
