name,cuisine,Halal,Vegetarian,latitude,longitude,address,rating,review_count,price,postal_code,
Sungei Road Laksa,Singaporean,no,no,1.306734036,103.8577724,"27 Jalan Berseh, #01-100, Jin Shui Kopitiam, Singapore 200027, Singapore",4.5,70,$,200027,
CreatureS,Singaporean,no,no,1.30811,103.85632,"120 Desker Rd, Singapore 209639, Singapore",4,14,$$,209639,
Tingkat PeraMakan,Singaporean,no,no,1.31382,103.85277,"119 Owen Rd, Singapore 218924, Singapore",4,6,$$,218924,
Good Chance Popiah Eating House,Singaporean,no,no,1.307837911,103.8570464,"1 Jalan Berseh, #01-15, New World Centre, Singapore 209037, Singapore",4,3,$$,209037,
San Laksa Steamboat,Singaporean,no,no,1.30988,103.85699,"147 Kitchener Road, Singapore 208524, Singapore",4,8,$$$,208524,
Big Street,Singaporean,no,no,1.30619,103.85597,"104/106 Jalan Besar, Singapore 208828, Singapore",4,3,$$$,208828,
Hui Wei Chinese Thai Cuisine,Thai,no,no,1.307665579,103.8602267,"802 French Road, Singapore 200802, Singapore",4,1,$$,200802,
Spicy Thai Thai,Thai,no,no,1.30512,103.854599,"2 Dickson Road, Singapore 209512, Singapore",3.5,7,$$,209512,
Lang Nuong Viet Nam,Vietnamese,no,no,1.311980867,103.8596951,"18 Foch Rd, Singapore 209260, Singapore",4.5,5,$$,209260,
Antoinette,French,no,no,1.30973,103.86219,"30 Penhas Road, Singapore 208188, Singapore",3.5,22,$$$,208188,
Mahota Commune,Italian,no,no,1.30831,103.8623099,"809 French Rd, Level 3, Kitchener Complex, Singapore 200809, Singapore",5,5,$$,200809,
Super Dario Lasagne Café,Italian,no,no,1.311308795,103.8569626,"180 Kitchener Rd, #04-17, City Square Mall, Singapore 208539, Singapore",3.5,3,$$,208539,
Sushi Jin,Japanese,no,no,1.31212,103.8541565,"1 Farrer Park Station Road, #01-11/12, Owen Link, Singapore 217562, Singapore",4,8,$$$,217562,
Swee Choon Tim Sum,Cantonese,no,no,1.308131166,103.8568643,"183/185/187/189/191/193 Jalan Besar, Singapore 208882, Singapore",4,75,$,208882,
Usman Restaurant,Pakistani,no,no,1.3096699,103.85401,"238 Serangoon Rd, Singapore 218085, Singapore",4,34,$,218085,
Xiang Yuan Ji - Shanghai Sheng Jian Bao,Chinese,no,no,1.313545142,103.8598373,"405 Jalan Besar Rd, Singapore 209011, Singapore",4,5,$,209011,
Hong Kong Style Chee Cheong Fun,Chinese,no,no,1.316263,103.849928,"41A Cambridge Rd, #01-25, Singapore 211041, Singapore",5,9,$,211041,
Da Lian Traditional Noodles,Chinese,no,no,1.30749,103.85808,"216G Syed Alwi Rd, #01-03, Singapore 207799, Singapore",4,19,$,207799,
MTR 1924,Indian,no,no,1.31291,103.85648,"438 Serangoon Rd, Singapore 218133, Singapore",4.5,34,$,218133,
Char Restaurant,Western,no,no,1.31267,103.85956,"363 Jalan Besar, Singapore 208994, Singapore",4.5,8,$$,208994,
Brunches Cafe,Western,no,no,1.314428,103.853973,"96 Rangoon Rd, Singapore 218375, Singapore",4.5,25,$$,218375,
Old Hen Kitchen,Western,no,no,1.314039803,103.8526741,"127 Owen Rd, Singapore 218931, Singapore",4.5,3,$$,218931,
Two Bakers Cafe,Western,no,no,1.31093,103.8605881,"88 Horne Road, Singapore 209083, Singapore",4,7,$$,209083,
Kantipur Tandoori,Indian,no,no,1.3100899,103.8564301,"18 Verdun Road, #01-01 & 02-01, Singapore 207280, Singapore",4,1,$$$,207280,
Gangnam Garden,Korean,no,no,1.311818,103.857058,"180 Kitchener Road, #02-21/22, City Square Mall, Singapore 208539, Singapore",4,1,$,208539,
Hillman Restaurant,Cantonese,no,no,1.309737327,103.8572252,"135 Kitchener Road, Singapore 208518, Singapore",4,13,$$,208518,
Heng Gi Goose & Duck Rice,Chinese,no,no,1.306421,103.850691,"665 Buffalo Rd, #01-335, Singapore 210665, Singapore",4,4,$,210665,
Fu Zhou Poh Hwa Oyster Cake,Chinese,no,no,1.30752,103.85676,"166 Jalan Besar, #02-34, Berseh Food Centre, Singapore 208877, Singapore",4.5,4,$,208877,
Lam's Singapore Culinary Enterprise Pte. Ltd,Chinese,no,no,1.3163199,103.858223,"460 Race Course Road, Singapore 218700, Singapore",4,1,$,218700,
Ng Ah Sio Bak Kut Teh,Chinese,no,no,1.31766,103.85291,"208 Rangoon Road, Singapore 218453, Singapore",4,19,$,218453,
Wah Kee Big Prawn Noodles,Chinese,no,no,1.316236951,103.8501664,"41A Cambridge Rd, #01-15, Singapore 211041, Singapore",4,7,$,211041,
Whampoa Keng,Chinese,no,no,1.315132851,103.8537879,"116-118 Rangoon Rd, Singapore 218396, Singapore",4,3,$$,218396,
Stuff'D,Mexican,no,no,1.31133,103.85661,"180 Kitchener Rd, #B1-K1, Singapore 208539, Singapore",3.5,6,$,208539,
Kebabs n Curries,Pakistani,no,no,1.310327,103.855314,"171 Syed Alwi Rd, #07-00, Mustafa Centre, Singapore 207704, Singapore",3.5,16,$$,207704,
Druggists,Indian,no,no,1.311133343,103.8598736,"119 Tyrwhitt Rd, Singapore 207547, Singapore",4,16,$$,207547,
The Malayan Council,Indian,yes,no,1.304404442,103.854288,"22 Dunlop St, Singapore 209350, Singapore",5,7,$$,209350,
Red Eye Smokehouse,Indian,no,no,1.31077,103.86106,"1 Cavan Rd, Singapore 209842, Singapore",4.5,10,$$$,209842,
Cheng Mun Chee Kee Pig Organ Soup,Chinese,no,no,1.3122025,103.8600484,24 Foch Road,4.3,1742,$,209263,
The 1925 Microbrewery & Restaurant,International,no,no,1.3128188,103.859594,369 Jalan Besar,4,228,$$$,208997 ,
Enchanted Cafe,International,no,no,1.3143819,103.8542331,"#01-04, 88 Rangoon Road",4.2,473,$$,218374,
Kok Kee Wanton Noodles,Chinese,no,no,1.3123797,103.8602718,"30 Foch Rd, #01-02",3.7,432,$,209276,
Mirage (The Palour Singapore): Craft Beer Bar,International,no,no,1.3144442,103.8526211,140 Owen Rd,4.4,62,$$,218940,
Mosanco Enchanted Café: 24/7 Cold Brews,International,no,no,1.3143819,103.8542331,"88 Rangoon Rd, #01-04",4.2,473,$$,218374,
Daizu Café: Japanese-Western Fusion With A Touch Of Soy,Japanese,no,no,1.3152975,103.8534004,129 Rangoon Road,4.3,316,$$,218407,
Suk’s Thai Kitchen: Modern Thai Eatery,Thai,no,no,1.3139554,103.8544802,136 Tessensohn Road,4.5,189,$$,217699,
Mrs Pho House,Vietnamese,no,no,1.3177957,103.8523151,221 Rangoon Road,4.2,507,$,218459,
The Bakehaus: Nutritious Breads And Pastries,International,no,no,1.3151255,103.8538667,130 Owen Road,4.7,147,$,218394,
Syip,International,no,no,1.3131093,103.8533786,79 Owen Road,4.4,159,$$,218895,
Noon,International,no,no,1.3161884,103.8534493,152 Rangoon Road,4.7,17,$$,218429,
Gather The Misfits,International,no,no,1.317718,103.8523969,217 Rangoon Road,4.5,82,$$,218457,
Ordinary Burgers,Western,no,no,1.3113517,103.8567241,"B1-K11/K13, City Square Mall, 180 Kitchener Road",4.1,158,$$$,208539,
Legendary Bak Kut Teh,Singaporean,no,no,1.3162532,103.8534412,"154 Rangoon Road, Singapore",3.7,9,$$,218431,
Fruit Monkeys,International,no,no,1.3143819,103.8542331,"#01-07, Rangoon 88, 88 Rangoon Road",4.4,65,$$,218374,
Lai Lai Taiwan Casual Dining,Chinese,no,no,1.3113517,103.8567241,"180 Kitchener Road, #03-39/40, City Square Mall",4.3,375,$$,208539,
Yi Zun Noodle,Chinese,no,no,1.3096604,103.8563556,45 Sam Leong Road,4.6,558,$$,207935,
Whampoa Keng Fish Head Steamboat,Singaporean,no,no,1.3151255,103.8538667,116/118 Rangoon Road,4.1,524,$$,218394,
Ponggol Nasi Lemak (Jalan Besar),Singaporean,yes,no,1.3129193,103.8595276,371 Jalan Besar #01-01,4,52,$,208998,
Ah Hor Teochew Kway Teow Mee,Singaporean,no,no,1.3104762,103.8562866,165 Kitchener Road,4.3,29,$,208532,
Pin Wei Hong Kong Style Chee Cheong Fun,Chinese,no,no,1.3161313,103.8502329,41A Cambridge Road #01-25 Pek Kio Market & Food Centre,4.3,44,$,211041,
Original Serangoon Fried Hokkien Mee,Singaporean,no,no,1.3144474,103.8576904,566 Serangoon Road Long San Eating House,3.7,7,$,218181,
Middle Road Pork Rib Prawn Mee,Singaporean,no,no,1.3093927,103.8570275,16 Sam Leong Road,4.8,9,$,207907,
Heng Heng Bak Kut Teh,Singaporean,no,no,1.3135637,103.8529205,107 Owen Road,4.7,6,$,218914,
Kim San Leng,Singaporean,no,no,1.3100065,103.8563936,12/16 Verdun Road,5,1,$,207279,
Soon Kee Wanton Mee,Singaporean,no,no,1.3161313,103.8502329,41A Cambridge Road #01-44 Pek Kio Market & Food Centre,4.3,22,$,211041,